      male     female
       3.0        5.0 --         ءقْدرْ ءشوفكْ بكْرة؟ 
       3.0        4.0 --         ءقْفلْ الحساب في البنك. 
       0.0        4.0 --         ءقْفلْ الحسابْ. 
       3.0        5.0 --         ءكلت بيض بالطّوة! 
       3.0        2.0 --         ءكلْت سمكْ بالفرنْ. 
       1.0        4.0 --         ءكلْت ملاحْ قرعْ. 
       3.0        6.0 --         ءكلْت ملوخية باللّحمْ. 
       1.0        4.0 --         ءكلْتوا باسْطة؟ 
       0.0        4.0 --         ءكلْنا ضلعْ. 
       1.0        4.0 --         ءكلْنا عصيدة. 
       1.0        4.0 --         ءكلْنا كسْتليْتة. 
       3.0        6.0 --         ءكلْنا محْشي وبطاطسْ. 
       3.0        5.0 --         ءكْتبْ فقْره واحده! 
       3.0        3.0 --         ءكْتوْبرْ شهرْ شتا. 
       3.0        7.0 --         ءلغي الحجز بسرعة. 
       3.0        3.0 --         ءلوان جريدة يوميّة. 
       3.0        6.0 --         ءلْحق النّاسْ ديْل في السّوْق. 
       1.0        4.0 --         ءلْطفْ يا لطيفْ. 
       3.0        6.0 --         ءلْعاب الْفيدْيو مسْموحْ بيْها. 
       2.0        4.0 --         ءلْعبْ كورة السلّة. 
       1.0        4.0 --         ءلْعبْ كورة قدمْ. 
       3.0        3.0 --         ءم درمان بتعْنيْ ليْ كتير! 
       3.0        3.0 --         ءمسْ قروا الفاتْحة. 
       3.0        3.0 --         ءمشي  لقدّام شويّة. 
       3.0        5.0 --         ءمشي بوابة النزول! 
       0.0        4.0 --         ءملا الءستمارة دي! 
       0.0        4.0 --         ءملا الءستمارة دي. 
       1.0        4.0 --         ءمي في المطبخ. 
       3.0        5.0 --         ءمّي محْتاجة للرّاحة. 
       0.0        4.0 --         ءمّي مدرّسة. 
       3.0        5.0 --         ءمْ درْمانْ مقابْلة النّيلْ. 
       3.0        2.0 --         ءمْبارحْ مشيتْ ويْنْ؟ 
       3.0        6.0 --         ءمْبّارحْ شفْنا مسْرحيّة. 
       3.0        5.0 --         ءمْسك ليْ الشّنْطة دي. 
       3.0        6.0 --         ءمْشي دغري ما تْلفْ. 
       3.0        5.0 --         ءمْشي طوالي ما تْقيفْ. 
       3.0        3.0 --         ءمْشي غربْ. 
       3.0        5.0 --         ءن شا الله ما تكونْ نسيت! 
       0.0        4.0 --         ءنا ءسْتاذ. 
       3.0        6.0 --         ءنا بالي مشغول الليلة. 
       1.0        4.0 --         ءنا بحب الكسْرة. 
       3.0        5.0 --         ءنا بحب الْمصارعهْ. 
       3.0        3.0 --         ءنا بحب فيلمْ ءفاتار. 
       1.0        4.0 --         ءنا بحبْ السّودان. 
       0.0        4.0 --         ءنا بدْرسْ عربي. 
       1.0        4.0 --         ءنا بعرفْ الجوابْ. 
       3.0        2.0 --         ءنا بعزف الْعود. 
       1.0        4.0 --         ءنا بعيدْ عنْ عايلْتي. 
       3.0        5.0 --         ءنا بعْزف الْبنْقسْ. 
       1.0        4.0 --         ءنا بعْزفْ عود. 
       3.0        7.0 --         ءنا بقضّي الءجازة في السّودان. 
       3.0        5.0 --         ءنا بقطّعْ السّلطة. 
       3.0        5.0 --         ءنا بكلّمكْ بصراحة. 
       0.0        4.0 --         ءنا بكْتبْ شعرْ. 
       3.0        2.0 --         ءنا تحت الخدمة. 
       1.0        4.0 --         ءنا تعبت تعب شديد. 
       1.0        4.0 --         ءنا تعْبانْ الْلّيْلة. 
       0.0        4.0 --         ءنا ذاتي ءسْتاذْ. 
       3.0        3.0 --         ءنا رقمْ تلطّاشرْ. 
       3.0        5.0 --         ءنا شخصياً ما حءجي. 
       3.0        7.0 --         ءنا شغّالْ في مشاة البحْرية. 
       3.0        6.0 --         ءنا ضابطْ في البحْرية. 
       3.0        6.0 --         ءنا عايزْ موْية بدونْ تلجْ. 
       1.0        4.0 --         ءنا عميدْ في الجيْش. 
       3.0        5.0 --         ءنا فطرْت الصّباحْ. 
       0.0        4.0 --         ءنا في الثانوي العالي. 
       1.0        4.0 --         ءنا في القسْم العلْمي. 
       3.0        7.0 --         ءنا في صالة المغادرة. 
       3.0        7.0 --         ءنا في محطّة السكّة حديدْ. 
       3.0        4.0 --         ءنا قاعدْ في محلّي. 
       3.0        7.0 --         ءنا قاعدْ قريبْ منْ الشّبّاكْ. 
       3.0        5.0 --         ءنا ما بعْزفْ كمنْجه. 
       0.0        4.0 --         ءنا ما تعْبانْ. 
       3.0        2.0 --         ءنا ما جايْ يوْم الءرْبعا. 
       3.0        7.0 --         ءنا ما شغّال بالزول دهْ. 
       0.0        4.0 --         ءنا ماشي الحمّامْ. 
       1.0        4.0 --         ءنا ماشي السّوقْ. 
       3.0        3.0 --         ءنا ماشي مكتب القبول. 
       3.0        6.0 --         ءنا مسْتءجرْ وهو المءجّرْ. 
       3.0        3.0 --         ءنا مسْتعْجلْ جدّاً. 
       3.0        6.0 --         ءنا مشْغولة والله. 
       3.0        6.0 --         ءنا مضْطّر ءرْجعْ. 
       3.0        6.0 --         ءنا منْ غرْب السّودانْ. 
       3.0        7.0 --         ءنا موافْقة على كدة. 
       3.0        6.0 --         ءنا موْلود في شهرْ ديسمْبرْ. 
       0.0        4.0 --         ءنت بتلعب كاتيه؟ 
       0.0        4.0 --         ءنت خايفْ ليه؟ 
       3.0        5.0 --         ءنت زبونة قديمة. 
       3.0        4.0 --         ءنت والله زول تاني. 
       3.0        3.0 --         ءنتسبْت لجامْعة النيلين. 
       3.0        5.0 --         ءنهْ عنْدكْ قروشْ. 
       3.0        7.0 --         ءنّا لله وءنّا ءليه راجعونْ. 
       3.0        5.0 --         ءنْ شاء الله بيْت مال وعيال. 
       3.0        3.0 --         ءنْا منْ ناحيتي موافق. 
       3.0        7.0 --         ءنْبوبة ءكْسجينْ ءنْفجرتْ. 
       0.0        4.0 --         ءنْت ءسْتاذةْ. 
       0.0        4.0 --         ءنْت ءسْتاذْ؟ 
       1.0        4.0 --         ءنْت الفضيلْ. 
       0.0        4.0 --         ءنْت جعان؟ 
       3.0        5.0 --         ءنْت حاسّهْ بي شْنوْ؟ 
       3.0        5.0 --         ءنْت حكيمْ ولاّ تمرْجي؟ 
       0.0        4.0 --         ءنْت طيّارْ؟ 
       0.0        4.0 --         ءنْت طّالبْ ؟ 
       0.0        4.0 --         ءنْت عاملْ شنو؟ 
       0.0        4.0 --         ءنْت عربي. 
       0.0        4.0 --         ءنْت عسْكري؟ 
       0.0        4.0 --         ءنْت معلّمة؟ 
       0.0        4.0 --         ءنْت وذوقكْ! 
       3.0        6.0 --         ءنْتظر لغاية بكْرة. 
       3.0        5.0 --         ءنْسى الماضي. 
       3.0        4.0 --         ءنْضم معاهو. 
       3.0        3.0 --         ءنْقاذْ الءطْفالْ بدا. 
       3.0        7.0 --         ءنْهى عقْده باخْتياره. 
       3.0        5.0 --         ءنْواع طيّاراتهم بوينج. 
       3.0        6.0 --         ءهمّ شيْ رعاية الْمريضْ. 
       0.0        4.0 --         ءهوْ دا الراجلْ. 
       3.0        3.0 --         ءهْلاً وسهْلاً يا ءسْتاذْ. 
       0.0        4.0 --         ءهْلاً يا ءسْتاذْ. 
       3.0        7.0 --         ءوضة الغسيل صغيرة. 
       3.0        5.0 --         ءوضة نومْنا كبيرة. 
       3.0        5.0 --         ءوضّتين كفاية علينا. 
       0.0        4.0 --         ءولادي اتْنيْن. 
       3.0        6.0 --         ءولادي عايزينْ علبْ هندسة. 
       3.0        5.0 --         ءولياء ءمورْ الطلاب جوا. 
       3.0        7.0 --         ءوّلْ ما تصلي ءضْربي لى. 
       3.0        5.0 --         ءىّ خدمة؟ 
       3.0        4.0 --         ءيجار الشقّة عالي. 
       0.0        4.0 --         ءيجارْ البيتْ عالي! 
       3.0        7.0 --         ءيدك على ميّة جنيه. 
       1.0        4.0 --         ءيوة كدة ءحْسن. 
       0.0        4.0 --         ءيّ خدْمة ؟ 
       1.0        4.0 --         ءيْه ءخْباركْ؟ 
       1.0        4.0 --         ءيْوه، ءنا طالبْ. 
       3.0        3.0 --         اتءكّد من الخبر دا! 
       3.0        3.0 --         اتعيّن بواسطة المدير. 
       3.0        5.0 --         اتكلم بتفصيل ءكتر. 
       3.0        5.0 --         اتّصلْ بعايلْتي كلّ يوْم. 
       3.0        7.0 --         اتْخرّجتْ منْ جامْعة الخرْطوم. 
       3.0        5.0 --         اتْخرّجْ بتفوّقْ. 
       3.0        5.0 --         اتْخرّجْ منْ الجامْعة. 
       3.0        6.0 --         اتْخلّصْت منْ الْعربيّة. 
       3.0        3.0 --         اتْسلّلْ في الضّلام. 
       1.0        4.0 --         اتْفضّلْ معانا. 
       3.0        3.0 --         اتْكلّمْ بصراحهْ. 
       0.0        4.0 --         اتْكلّمْ معاها. 
       1.0        4.0 --         احْترمْ النّاسْ يا ولد! 
       3.0        5.0 --         احْتفلْنا بعيْدْ راسْ السّنة. 
       3.0        5.0 --         احْتمال يكون صحيحْ. 
       3.0        5.0 --         اخْتلفْت معاه في الرّايْ. 
       1.0        4.0 --         ادفع تءمينْ العربيّة! 
       0.0        4.0 --         ادفع لي عرْبونْ! 
       1.0        4.0 --         ارْتاحتْ بعْد الدّوا. 
       0.0        4.0 --         ارْتاحْ هنا. 
       3.0        2.0 --         ارْكبْ تكْسي للمطار! 
       0.0        4.0 --         ارْكبْ عربيتكْ! 
       3.0        5.0 --         استعملْ قلم رصاص! 
       0.0        4.0 --         استعْمل الدوا دا. 
       3.0        7.0 --         استغلّ احتياجهْ للْقروش. 
       3.0        7.0 --         استغلّ حوجتهْ لشّغلْ. 
       1.0        4.0 --         استلام العفش منْ وينْ؟ 
       0.0        4.0 --         استلمت التحويل؟ 
       0.0        4.0 --         استلمت عفشك؟ 
       0.0        4.0 --         اسم المستلم منو؟ 
       3.0        5.0 --         اسمْ ءخويْ ءحْمدْ. 
       3.0        7.0 --         اسْتجْواب البوليس ليه كان غريبْ. 
       3.0        4.0 --         اسْتعْملْ برْهمْ لكْراعه. 
       3.0        5.0 --         اسْتعْملْ موسْ الْحلاقة. 
       3.0        5.0 --         اسْتفْسرْ عنْ الشّركةْ دي . 
       3.0        6.0 --         اسْتفْسرْ عنْ مواعيْد البصْ. 
       1.0        4.0 --         اسْتمرْ في الشارعْ دا. 
       1.0        4.0 --         اشترينا فرّامة لحمة. 
       0.0        4.0 --         اشْتاقْ للْبلدْ. 
       3.0        7.0 --         اشْترى ءنْبوبة غاْز. 
       0.0        4.0 --         اشْتريْت التسالي ؟ 
       2.0        4.0 --         اشْتريْت ساعة دهبْ. 
       3.0        7.0 --         اشْتريْت قزازة زيْت. 
       3.0        5.0 --         اشْتريْت لحْمة مفْرومة. 
       0.0        4.0 --         اشْتريْت ويْكة. 
       3.0        7.0 --         اشْتغلْ قدرْ ما تقْدرْ. 
       3.0        7.0 --         اشْتغلْت في القوّاتْ الجوية. 
       3.0        5.0 --         اشْتقْت لناس السّوْدانْ. 
       3.0        7.0 --         اشْتكى منْ صداعْ خفيْفْ. 
       3.0        7.0 --         اضْطّر يمْشي السّودانْ. 
       3.0        6.0 --         اعترفْ انهْ غلطانْ. 
       0.0        4.0 --         اعْتذاركْ مقْبولْ. 
       0.0        4.0 --         اعْتذرْ عنْ الْكلامْ دا. 
       1.0        4.0 --         اعْتقلوا الرّاجلْ. 
       0.0        4.0 --         اعْزمي علوية. 
       3.0        5.0 --         افْتحْ البابْ منْ فضْلكْ! 
       3.0        2.0 --         افْتحْ الصنْدوقْ. 
       3.0        2.0 --         اكتب لي وصل ءستلام! 
       3.0        5.0 --         الءجانب بحبوا السّودان. 
       3.0        3.0 --         الءجتماع كان ناجح. 
       1.0        4.0 --         الءحدْ يوْم الكنيسة. 
       3.0        5.0 --         الءخبار دي مرّ عليها سنة. 
       3.0        7.0 --         الءدويهْ دي لازمْ تخلّصيها. 
       3.0        3.0 --         الءرهابيين مضرينْ. 
       0.0        4.0 --         الءساتْذة تمانية. 
       3.0        5.0 --         الءستاذ قال ممْكن نقْرا. 
       3.0        5.0 --         الءستاذ منزعج جدّاً. 
       6.0       12.0 --         الءسْبوعْ الجايْ ءجازة. 
       3.0        7.0 --         الءعْراض الشّاعرْ بيْها شْنو؟ 
       3.0        5.0 --         الءكل بتلف برّة التلاجة. 
       0.0        4.0 --         الءكلْ دا كفاية. 
       3.0        5.0 --         الءلمْ بالضّبْطْ وين؟ 
       1.0        4.0 --         الءلمْ في الْحتّهْ دي. 
       3.0        7.0 --         الءهتمام بالرياضة كويّس. 
       0.0        4.0 --         الءهلْ بخيْر. 
       3.0        6.0 --         الءوراق دي لمّهم مع بعض. 
       3.0        7.0 --         الءوضهْ ناقْصهْ حاجاتْ. 
       3.0        5.0 --         الءولاد بيقوموا بالنّظافة. 
       3.0        7.0 --         الءولاد حياخْدوا ءستراحة. 
       3.0        2.0 --         الءوْضة كبيرة. 
       3.0        7.0 --         الءوْلاد بتْزحْلقوا في الموية. 
       3.0        5.0 --         الءيجار بشْملْ الموية والكهربا. 
       3.0        3.0 --         الءيّامْ دي سخْنة. 
       3.0        6.0 --         الءْسْلحة النّاريّة ممْنوعة. 
       3.0        5.0 --         الاتْنيْن يوْم شغلْ. 
       3.0        4.0 --         البابو سمّوه مْنو؟ 
       0.0        4.0 --         البت دي ءمْريكية. 
       3.0        3.0 --         البتّ دي عزّابية؟ 
       3.0        2.0 --         البدْلة كلّفتْ  جنيه. 
       3.0        7.0 --         البرازيل في ءمْريكا الجنوبية. 
       0.0        4.0 --         البقالة قفّلتْ. 
       3.0        5.0 --         البقّالْ عنْدهْ جبْنة. 
       3.0        3.0 --         البلاعاتْ ما مصرّفة. 
       0.0        4.0 --         البلاعة اتْملتْ. 
       3.0        4.0 --         البلدْ حالتو سيّءة. 
       0.0        4.0 --         البنات رقصوا. 
       3.0        3.0 --         البنك ءدّاك ءيصال؟ 
       3.0        5.0 --         البنك حياخد عمولة؟ 
       3.0        5.0 --         البنْزين بيعْملْ حريقْ 
       3.0        3.0 --         البهيجي عنده بهية. 
       3.0        7.0 --         البوتوجاز في المطبخ. 
       3.0        2.0 --         البوليس اسْتجْوبه. 
       3.0        7.0 --         البوليسْ سيْطرْ علىْ الْوضْعْ. 
       3.0        4.0 --         البوليْس ءنْقذ الركّاب. 
       3.0        5.0 --         البوليْسْ فتشْ الركّابْ. 
       3.0        5.0 --         البوْدي ما جاتهْ حاجهْ. 
       3.0        5.0 --         البيت فاضي ، ما مءجّرْ 
       0.0        4.0 --         البيْت دا للءيجار. 
       0.0        4.0 --         البيْت دا للبيْع. 
       0.0        4.0 --         التءمين مهم جداً. 
       3.0        5.0 --         التخطيطْ مهمْ جدًا. 
       1.0        4.0 --         التدْخينْ ممْنوعْ. 
       3.0        3.0 --         التذاكرْ غالية. 
       3.0        5.0 --         التفاوضْ مطْلوبْ. 
       1.0        4.0 --         التليفوْن دا بالمجان. 
       0.0        4.0 --         التينْ حلو. 
       3.0        7.0 --         التّجاوز في السّواقة خطر. 
       3.0        7.0 --         التّدْريب على الرّقْصْ صعب. 
       3.0        2.0 --         التّرحيلْ حيكونْ فوراً. 
       3.0        3.0 --         التّصادمْ كويّسْ. 
       3.0        3.0 --         التّصْريفْ كويّس. 
       3.0        2.0 --         التّصْويْرْ ممْنوعْ. 
       3.0        5.0 --         التّفاح فيو فوايد كبيرة. 
       3.0        4.0 --         الجامعْ جنوبْ المدْرسة. 
       3.0        6.0 --         الجربوكس ما فيْه مشكلهْ. 
       3.0        5.0 --         الجزّارْ عنْدهْ لحْمة. 
       0.0        4.0 --         الجواب دا مسجّل. 
       3.0        3.0 --         الجواب وصل بسرْعة. 
       0.0        4.0 --         الجواب وصل؟ 
       0.0        4.0 --         الجوْ باردْ شديدْ. 
       0.0        4.0 --         الجوْ باردْ. 
       0.0        4.0 --         الجوْ جميلْ. 
       0.0        4.0 --         الجوْ جوة باردْ. 
       0.0        4.0 --         الجوْ حار. 
       0.0        4.0 --         الجوْ معْتدلْ. 
       3.0        4.0 --         الجيعان منو فيكمْ؟ 
       3.0        7.0 --         الجّازولين خطر برْضه. 
       3.0        7.0 --         الجّماعة ديلْ غلْطانين. 
       3.0        7.0 --         الجّهاز مركّبْ جاهزْ. 
       1.0        4.0 --         الجّو حيْكون بارد. 
       3.0        3.0 --         الجّواز مجدّدْ. 
       3.0        2.0 --         الجّوْ الْليلة صافي. 
       1.0        4.0 --         الجّوْ بالْليلْ سمحْ. 
       1.0        4.0 --         الجّوْ لا حار لا بارد. 
       3.0        7.0 --         الحاجات دي للءستعمال الشخصي. 
       3.0        2.0 --         الحادثْ حصلْ قدامي. 
       1.0        4.0 --         الحادثْ حصلْ وينْ؟ 
       3.0        5.0 --         الحجوزات ما موجودة. 
       3.0        7.0 --         الحرارة حتنْخفضْ شويّة. 
       3.0        7.0 --         الحرامي فضّى جيبي. 
       0.0        4.0 --         الحرامي هربْ. 
       0.0        4.0 --         الحظ ما ساعّدنا. 
       3.0        5.0 --         الحفْلة الخميسْ الجايْ. 
       3.0        7.0 --         الحفْلْ يسْتضيْف فنّانينْ كبار. 
       3.0        7.0 --         الحلْقهْ الءولىْ في الْمسلسل. 
       0.0        4.0 --         الحمد لله. 
       3.0        6.0 --         الخدّامة في المطْبخْ. 
       3.0        7.0 --         الخطوطْ كلّها عطْلانهْ. 
       3.0        2.0 --         الخفيرْ في البوّابة. 
       3.0        7.0 --         الخلّاطْ شضغالْ. 
       1.0        4.0 --         الدفع شهرْ بشهرْ. 
       3.0        3.0 --         الدفع مباشرةً لسيدْ البيتْ. 
       3.0        5.0 --         الدكّان في الطابقْ الرابعْ. 
       3.0        2.0 --         الدولار عملة صعبة. 
       3.0        3.0 --         الدّركسون دا مريح جدًا. 
       0.0        4.0 --         الدّعوة عامة. 
       0.0        4.0 --         الدّفن وينْ؟ 
       3.0        7.0 --         الدّكتورْ حيشوفهْ بكْرهْ. 
       3.0        5.0 --         الدّكّانْ مزدحمْ جداً. 
       3.0        7.0 --         الدّكْتور ءدّاني مضاد حيوي. 
       3.0        6.0 --         الدّكْتور كتبْ ليْه روشتهْ. 
       1.0        4.0 --         الدّكْتورْ جابْ فايلي. 
       3.0        7.0 --         الدّكْتوْرْ كتبْ ليْه روشتّة. 
       0.0        4.0 --         الدّنْيا بقتْ ليْلْ. 
       3.0        5.0 --         الدّوا دا كويسْ خالصْ. 
       0.0        4.0 --         الدّوا دا نافع معايْ. 
       3.0        2.0 --         الدْكاكين الليلة قافْلة. 
       3.0        5.0 --         الرءيس حيفْتتحْ  الكبْري. 
       0.0        4.0 --         الراجلْ ماتْ؟ 
       0.0        4.0 --         الراسل منو؟ 
       0.0        4.0 --         الرحلة اتءجّلت. 
       3.0        5.0 --         الرز متوفّر في السوق . 
       3.0        7.0 --         الرضاعة الطبيعيّة ءحسنْ. 
       3.0        2.0 --         الرمز البريدي شنو؟ 
       3.0        5.0 --         الرّءيسْ اتْوفّى. 
       3.0        7.0 --         الرّاجلْ اخْتفى فجْءة. 
