      male     female
      22.0       20.0 --         آپ کہاں جا رہے تھے؟ 
      22.0       20.0 --         آپ کہاں رہتے ھیں؟ 
      23.0       19.0 --         آپ کہاں سے آرھے ھیں؟ 
      22.0       21.0 --         آپ کہاں سے اخبار خریدتے ھیں؟ 
      22.0       20.0 --         آپ کہاں سے ھیں؟ 
      43.0       40.0 --         آپ کی تاریخ پیدائش کیا ہے؟ 
      22.0       20.0 --         آپ کی جائے پیداش کیاھے؟ 
      22.0       20.0 --         آپ کی شناختی پٹی کہاں ہے؟ 
      18.0       17.0 --         آپ کی صحت کیسی ہے؟ 
      22.0       16.0 --         آپ کی ملاقات کا وقت کیا ھے؟ 
      22.0       18.0 --         آپ کی پوزیشن کیاھے؟ 
      22.0       20.0 --         آپ کی کمپنی کا کیا نام ھے؟ 
      22.0       20.0 --         آپ کی گاڑی کو کیا ھوا۔ 
      23.0       19.0 --         آپ کیا لے جا رھے ھیں؟ 
      22.0       20.0 --         آپ کیا کام کرتے ھیں؟ 
      25.0       20.0 --         آپ کیا کر رہے ھیں؟ 
      22.0       20.0 --         آپ کے باس کا کیا نام ھے؟ 
      22.0       20.0 --         آپ کے رہنما کا کیا نام ھے؟ 
      21.0       22.0 --         آپ کے علاقے میں قدرتی گیس کی کیا صورتحال ھے؟ 
      22.0       22.0 --         آپ کے واٹر سپلائی کی کیا صورتحال ہے؟ 
      22.0       20.0 --         آپ کے گھر کا پتہ کیا ھے؟ 
      22.0       20.0 --         آپ کے یونٹ کا مشن کیا ھے؟ 
      21.0       20.0 --         آپ ہماری حراست میں ھیں 
      22.0       20.0 --         آپ یہاں کس راستے سے آتے ھیں؟ 
      25.0       20.0 --         آپنا سر مت ہلایئں 
      22.0       16.0 --         آپنی بندوق کی دوربین شکنجے میں رکھو۔ 
      21.0       20.0 --         آپنے ھاتھوں کو کھڑا کرو۔ 
      21.0       19.0 --         آڈے کے قریب۔ 
      21.0       17.0 --         آگ بجھانے کا عملہ 
      12.0       14.0 --         آہ و زاری 
      21.0       20.0 --         آہستہ چلو۔ 
      21.0       19.0 --         آہستہ ھو جاو۔ 
      25.0       20.0 --         آیئں آپ کی مدد کریں۔ 
       4.0        5.0 --         ا ثر کھو دینا 
      21.0       17.0 --         ا نتخا ب ۔ ا نتخا بی مہم 
      12.0       14.0 --         ا یو ا ن زیر یں 
      10.0       10.0 --         ائیتلافی 
      21.0       20.0 --         اب آپ کی باری ھے۔ 
      22.0       21.0 --         اب آپ کے فارم ہاوس پر کون قابض ھے؟ 
       8.0       11.0 --         ابالنا۔ ابال کر 
       4.0        6.0 --         ابتدائ 
      21.0       17.0 --         ابتدائی طبی امداد 
       2.0        3.0 --         ابتر 
      22.0       20.0 --         ابھی آپ سے یہاں کوئی سوال پوچھنے آے گا۔ 
      21.0       19.0 --         ابھی میں مصروف ھوں 
      21.0       19.0 --         ابھی کیا وقت ہوا ہے؟ 
       5.0        8.0 --         اتحاد 
       5.0        8.0 --         اتحادی 
      20.0       17.0 --         اتحادی ۔ اتحادیوں کا 
       8.0        9.0 --         اتفاق 
       2.0        3.0 --         اتوار 
      19.0       18.0 --         اج رات۔ 
       8.0       11.0 --         اجازت 
       8.0       11.0 --         اجاگر کرنا 
       8.0        9.0 --         اجتماع 
       2.0        3.0 --         اجرا 
       3.0        3.0 --         اجرت 
      12.0       14.0 --         اجرت, معاوضہ 
       3.0        5.0 --         اجلاس 
       3.0        5.0 --         اجنبی 
      17.0       18.0 --         اجنبی۔ اجنبیوں سے 
      60.0       68.0 --         احاطہ 
      12.0       14.0 --         احتجاج 
       5.0        8.0 --         احترام 
       8.0       10.0 --         احتساب 
      16.0       18.0 --         احتیاط 
      22.0       22.0 --         احتیاط کریں۔ 
       7.0        8.0 --         احکامات 
       6.0        8.0 --         اخبا ر 
      12.0       11.0 --         اخبار والا 
      22.0       21.0 --         اخبار والے نے اشتہار بانٹے ھیں۔ 
      18.0       18.0 --         اختلاط 
      12.0       11.0 --         اختیار دینا 
       8.0        9.0 --         اخراج 
      11.0       11.0 --         اخراجات 
      12.0       11.0 --         اخلاق 
      21.0       17.0 --         اخلاق سے پیش آنا 
      18.0       18.0 --         اخلاقی بلندی 
       3.0        3.0 --         ادا کرنا 
       2.0        3.0 --         اداریہ 
       4.0        6.0 --         ادارے 
       8.0        9.0 --         اداکار ،اداکارہ 
       2.0        3.0 --         ادنیٰ 
       6.0        6.0 --         ادویات 
      19.0       18.0 --         ادھر آو 
      19.0       18.0 --         ادھر۔ 
       3.0        3.0 --         اذیت دینا 
       2.0        2.0 --         ارب 
      12.0       11.0 --         ارتعاشات 
       2.0        3.0 --         اردو 
       4.0        6.0 --         اردگرد 
       4.0        5.0 --         ارسال کرنا 
       8.0       10.0 --         از سر نو 
       5.0        8.0 --         ازبک 
      12.0       14.0 --         ازبکستان 
      13.0       16.0 --         ازخود 
      12.0       11.0 --         ازدواج 
       8.0       10.0 --         ازسرنو 
       4.0        4.0 --         اس 
      21.0       20.0 --         اس بستے میں کیا ھے؟ 
      22.0       20.0 --         اس جایئداد کی کیا حالت ھے؟ 
      21.0       22.0 --         اس جگہ کتنے لوگ کام کرتے ھیں۔ 
      22.0       18.0 --         اس جھیل کو کیا کہتے ھیں؟ 
      22.0       21.0 --         اس زمین کو کس نے ضبط کیا؟ 
      21.0       19.0 --         اس سڑک پر کتنا وزن لانے کی اجازت ھے؟ 
      22.0       20.0 --         اس شناختی پٹی میں آپکی تمام معلومات ہیں۔ 
      32.0       36.0 --         اس طرح 
      22.0       21.0 --         اس علاقہ میں کتنے لوگوں کے پاس ٹی وی اور ریڈیو ھیں؟ 
      21.0       19.0 --         اس علاقے میں ایک بڑا اور دو چھوٹے ھوائی اڈے ھیں۔ 
      22.0       20.0 --         اس علاقے میں بہت سے انجینیر ھیں۔ 
      21.0       22.0 --         اس علاقے میں جو مویشی چر رہے ھیں انھیں خطرہ ھے۔ 
      22.0       16.0 --         اس علاقے میں رھو۔ 
      21.0       22.0 --         اس علاقے میں کتنے لوگ رھتے ھیں؟ 
      21.0       19.0 --         اس علاقے میں کتنے لوگ گاڑیوں کے مالک ھیں؟ 
      21.0       22.0 --         اس علاقے میں کتنے کنویں ھیں؟ 
      22.0       17.0 --         اس علاقے میں کون رہتا ھے۔ 
      22.0       17.0 --         اس علامت کا کیا مطلب ھے۔ 
      22.0       22.0 --         اس مسلہ کو حل کرنے کے لیے آپ نے کس سے رابطہ کیا؟ 
      22.0       18.0 --         اس وادی کو کیا کہتے ھیں؟ 
      22.0       20.0 --         اس وقت آپ کی گاڑی کہاں ھے؟ 
      21.0       19.0 --         اس وقت صرف پندرہ منٹ لگیں گے۔ 
      22.0       20.0 --         اس وقت ہر ایک کو گھر ھونا چاھیے۔ 
      22.0       20.0 --         اس وقت ہر ایک کو گھر ہوناچاہے؟ 
      22.0       21.0 --         اس وقت یہ زمین کس لیے استعمال ہوتی ہے؟ 
      22.0       21.0 --         اس ٹریفک اشارہ کا کیا مطلب ھے؟ 
      22.0       18.0 --         اس پہاڑی کی کیتنی ڈھلان ھے؟ 
      25.0       20.0 --         اس کو چوتھا مہینہ ھے۔ 
      21.0       19.0 --         اس کو ہاتھ مت لگائیں 
      22.0       18.0 --         اس گاوں کا نام ڈونگابونگا ھے۔ 
      22.0       18.0 --         اس گاوں کا کیا نام ھے؟ 
       2.0        3.0 --         اساسی 
       2.0        3.0 --         اسامی 
       8.0        9.0 --         استاد ،استانی 
       8.0        9.0 --         استاد, اُستانی 
       5.0        8.0 --         استبدادی 
       5.0        8.0 --         استدعا 
       8.0        9.0 --         استعمال 
      18.0       18.0 --         استعمال شدہ کار 
       2.0        3.0 --         استغاثہ 
      12.0       14.0 --         استفادہ کرنا 
       4.0        5.0 --         اسرائیل 
       4.0        6.0 --         اسرائیلی 
      21.0       17.0 --         اسقاط حمل 
      21.0       20.0 --         اسلام 
      22.0       20.0 --         اسلام اباد 
      22.0       16.0 --         اسلحہ کا ذخیرہ گھروں میں ھے۔ 
      22.0       16.0 --         اسلحہ کا گودام کہاں ھے؟ 
      21.0       18.0 --         اسلحے کا ڈپو 
       5.0        8.0 --         اسٹال 
       2.0        2.0 --         اسکا 
       4.0        6.0 --         اسکواش 
       2.0        3.0 --         اسکی 
       3.0        3.0 --         اسہال 
       2.0        2.0 --         اسی 
      25.0       20.0 --         اشارہ کریں۔ 
       8.0        9.0 --         اشاعت 
       4.0        6.0 --         اشتہار 
      22.0       21.0 --         اشتہار کس نے بانٹے؟ 
      12.0       15.0 --         اشیائ 
      13.0       16.0 --         اصرار کرنا 
      21.0       17.0 --         اصطلاح 
      21.0       18.0 --         اصولوں کو سربلند رکھنا 
       3.0        3.0 --         اضافہ 
      15.0       17.0 --         اطلاق 
       4.0        5.0 --         اعادہ 
       8.0       10.0 --         اعادہ کرنا 
      24.0       34.0 --         اعتدال پسند 
      15.0       17.0 --         اعتماد سازی 
      18.0       18.0 --         اعتماد کی بحالی 
      12.0       17.0 --         اعداد و شمار 
      12.0       17.0 --         اعدادوشمار 
      15.0       17.0 --         اعصاب 
      17.0       18.0 --         اعلی ترین عہدہ 
      19.0       18.0 --         اعلی تعلیمی ادارے 
       2.0        2.0 --         اغوا 
       2.0        3.0 --         اغوائ 
      13.0       16.0 --         اغوائ برائے تاوان 
      24.0       28.0 --         افتتاح 
      21.0       17.0 --         افراط زر 
       8.0       11.0 --         افریقہ 
       8.0       10.0 --         افریقی 
      15.0       17.0 --         افطا ری 
      13.0       17.0 --         افطار 
       6.0        8.0 --         افعی 
      12.0       11.0 --         افغان جہاد 
       8.0        9.0 --         افغانستان 
       3.0        4.0 --         افغانی 
      22.0       18.0 --         افقی لکریں عرض البلد دکھاتی ھیں۔ 
       4.0        6.0 --         افلاس 
      11.0       10.0 --         افیم کشی 
      18.0       18.0 --         افیمچی ، افیونی 
       4.0        5.0 --         افیون 
       8.0       12.0 --         اقتدار 
      16.0       18.0 --         اقتصادی 
      21.0       16.0 --         اقتصادی شرح نمو 
      21.0       18.0 --         اقتصادی ماہرین 
       4.0        5.0 --         اقدار 
      21.0       15.0 --         اقلیت ، اقلیتیں ، اقلیتوں کی،کا،کو،کے،سے،میں 
      16.0       18.0 --         اقلیت۔ اقلیتیں۔ 
      21.0       15.0 --         اقوام متحدہ کا ترقیاتی فنڈ 
      21.0       15.0 --         اقوام متحدہ کا عا لمی ادارہ برائے اطفال 
      21.0       15.0 --         اقوام متحدہ کا عا لمی خوراک پروگرام 
      21.0       15.0 --         اقوام متحدہ کا فنڈ برائے آبادی 
      21.0       15.0 --         اقوام متحدہ کا کمیشن برائے مہاجرین 
      12.0       16.0 --         الحمد للہ 
      10.0       16.0 --         الزام 
      19.0       18.0 --         الزام عائد کرنا 
      19.0       17.0 --         السلام علیکم 
       2.0        3.0 --         المیہ 
      12.0       11.0 --         الٹ جانا 
      12.0       14.0 --         الٹی سیدھی 
      11.0       11.0 --         الگ مقام 
      19.0       18.0 --         امام صاحب 
       5.0        8.0 --         امتحان 
      16.0       18.0 --         امتیازی حیثیت 
      12.0       17.0 --         امتیازی سلوک 
       2.0        3.0 --         امریکہ 
       2.0        3.0 --         امریکی 
      21.0       20.0 --         امریکی فوجی آئے گا اور وہ آپکی تلاشی لے گا۔ 
       2.0        2.0 --         امن 
      21.0       16.0 --         امن برقرار رکھنے کا فریضہ، مشن 
       5.0        8.0 --         امن عامہ 
       3.0        3.0 --         امن و امان 
       4.0        6.0 --         امکان ۔ امکانات 
       3.0        3.0 --         امکانات 
       2.0        2.0 --         امی 
       3.0        3.0 --         امیدوار 
       4.0        4.0 --         امیر 
       3.0        3.0 --         امیر ترین 
       3.0        3.0 --         ان تھک 
       3.0        3.0 --         ان کا، ان کی 
      24.0       20.0 --         ان کے پاس آر پی جی ھے۔ 
      24.0       20.0 --         ان کے پاس بہت سا بارود ھے۔ 
      24.0       20.0 --         ان کے پاس پیٹھو تھے۔ 
      24.0       20.0 --         ان کے پاس کس قسم کی خاص وردی ھے؟ 
      24.0       20.0 --         ان کے پاس کس قسم کی گاڑیاں تھیں؟ 
      24.0       20.0 --         ان کے پاس کس قسم کے ہتھیار ھیں؟ 
      22.0       20.0 --         ان گاڑیوں کا رنگ کیا تھا؟ 
       2.0        3.0 --         اناسی 
       3.0        3.0 --         انتالیس 
      12.0       11.0 --         انتخابات 
      12.0       17.0 --         انتخابی میدان 
      15.0       17.0 --         انتخابی نشان 
      25.0       20.0 --         انتظار فرمائیے آپ کو ڈاکٹر ابھی دیکھتا ھے۔ 
      18.0       17.0 --         انتظار فرماہیے۔ 
       2.0        3.0 --         انتظام 
       4.0        6.0 --         انتقا ل 
       8.0        9.0 --         انتہا پسند 
       8.0       10.0 --         انتہا پسندی 
       4.0        5.0 --         انتہائی 
      18.0       18.0 --         انتہائی نگہداشت 
       2.0        3.0 --         انتیس 
       3.0        3.0 --         انجمن 
       5.0        8.0 --         انجنئیر 
      19.0       18.0 --         انحصار کرنا 
      21.0       15.0 --         انحصار کرنا۔ منحصر ہونا 
       5.0        8.0 --         انخلا 
      21.0       16.0 --         اندازے کے مطابق 
       4.0        6.0 --         اندر 
       8.0       10.0 --         اندراج 
       5.0        8.0 --         اندرون ملک 
      15.0       17.0 --         اندرونی استحکام 
      16.0       18.0 --         اندرونی انتخابات 
      12.0       14.0 --         اندھیری جگہ 
       3.0        3.0 --         انسداد 
       8.0        9.0 --         انسٹھ 
      22.0       22.0 --         انسپکٹڑ آرہا ھے۔ 
       4.0        5.0 --         انعام 
      21.0       18.0 --         انفرا اسٹرکچر 
      21.0       15.0 --         انفیکشن۔ چھوت سے نگنے والی متعدی بیماری 
       5.0        8.0 --         انقلاب 
      21.0       18.0 --         انٹرنیٹ جرائم 
      21.0       17.0 --         انٹرنیٹ مہیا کرنے والے 
      19.0       18.0 --         انچارج کون ھے؟ 
       4.0        6.0 --         انچاس 
      21.0       17.0 --         انڈا بازی 
      21.0       17.0 --         انڈونیشین 
      15.0       17.0 --         انڈیا 
      16.0       22.0 --         انکشاف 
       3.0        5.0 --         انگلی 
       4.0        5.0 --         انگنت 
      22.0       20.0 --         انھوں نے فوجی وردیاں پہنی ھوئی تھیں۔ 
      22.0       20.0 --         انھوں نے کیا پہنا ھوا تھا؟ 
       2.0        3.0 --         انہتر 
       2.0        3.0 --         انیس 
      21.0       19.0 --         انیس سو ستانوے سے 
       2.0        2.0 --         اور 
       8.0       10.0 --         اوقات 
      12.0       17.0 --         اونچا اونچی 
       8.0       10.0 --         اونچائی 
       3.0        3.0 --         اُستاد 
       8.0       10.0 --         اٹھا لینا 
      12.0       11.0 --         اٹھائیس 
       6.0        8.0 --         اٹھارہ 
       7.0        8.0 --         اٹھاسی 
       8.0       10.0 --         اٹھانوے 
       5.0        8.0 --         اٹھاون 
       5.0        8.0 --         اٹھتر 
      41.0       38.0 --         اٹھو 
      18.0       17.0 --         اپ کا کیا حال ھے؟ 
      22.0       20.0 --         اپ کتنے عرصہ وہاں رہے؟ 
       3.0        3.0 --         اپریل 
      22.0       16.0 --         اپنا آر پی جی راکٹ اور پروپیلڈ گرنیڈ تیار رکھو۔ 
      21.0       19.0 --         اپنا انجن بند کردو۔ 
      22.0       16.0 --         اپنا علاقہ استعمال کرو۔ 
      25.0       20.0 --         اپنا نام زور سے بولو۔ 
      22.0       16.0 --         اپنا پستول صاف کرو۔ 
      21.0       19.0 --         اپناخیمہ یہاں لگائیں 
      25.0       20.0 --         اپنی انکھیں کھولو 
      22.0       16.0 --         اپنی بندوق اٹھاو۔ 
      22.0       16.0 --         اپنی رائفل بھرو۔ 
      22.0       20.0 --         اپنی گاڑی سے باہر نکلو۔ 
      21.0       19.0 --         اپنی گاڑی کو یہاں لاو۔ 
      12.0       14.0 --         اپنے پلے سے 
      18.0       18.0 --         اپنے ہتھیار نیچے رکھو 
      18.0       18.0 --         اپنے ہتھیار پھینک دو 
      20.0       16.0 --         اپنے ہتھیار یہاں لاو۔ 
      22.0       16.0 --         اپنے ہدف کی نشاندہی کرو۔ 
      21.0       19.0 --         اپنے یونٹ کے ساتھ رہیں 
      12.0       11.0 --         اچھل کود 
      22.0       20.0 --         اڈے میں تقریبا پچاس لوگ تھے۔ 
      12.0       14.0 --         اڑتالیس 
      10.0       10.0 --         اڑتیس 
      15.0       17.0 --         اڑسٹھ 
       2.0        3.0 --         اکاسی 
       3.0        3.0 --         اکانوے 
       2.0        3.0 --         اکاون 
       3.0        3.0 --         اکتالیس 
       3.0        3.0 --         اکتوبر 
       2.0        3.0 --         اکتیس 
       2.0        3.0 --         اکسانا 
       8.0        9.0 --         اکسٹھ 
      21.0       17.0 --         اکٹھے پلے بڑھے 
      12.0       11.0 --         اکھاڑہ 
       2.0        3.0 --         اکہتر 
       2.0        3.0 --         اکیس 
       2.0        3.0 --         اگر 
      22.0       20.0 --         اگر آپ نقصان کا ازالہ کرنا چاھتے ھییں تو آپ کو یہ کاغذ بھرنا ھوگا۔ 
      22.0       16.0 --         اگر آپ نے اگے کوئی پیش قدمی کی تو امریکی فوجی آپ کو مار دیں گے۔ 
      20.0       20.0 --         اگر آپ کو قافلہ نظر نہ آئے تو آہستہ ھو کر اگلے فوجی ٹرک کا پحچھا کریں۔ 
      20.0       20.0 --         اگر قافلے میں ٹڑک خراب ھو جاے تو گاڑی کو ادھر ادھر چلاہیں۔ 
      20.0       19.0 --         اگر قافلے پر حملہ ھو جائے تو مت روکنا۔ 
      20.0       19.0 --         اگر قافلے پر حملہ ھوجائے۔مھجے کیا کرنا چاھیے- 
      22.0       21.0 --         اگر مھجے دوسرے ڈرائیور کے ساتھ کوئی مسلہ ھو تو قافلے کے کمانڈر کو بتاہیں۔ 
      22.0       21.0 --         اگر مھجے روکنا پڑے اور قافلہ چلتا جائے تو مھجے کیا کرنا چاھیے۔ 
      20.0       20.0 --         اگر ٹرک خراب ھوجائے تو مہھجے کیا کرنا چاھے۔ گیا؟ 
      22.0       21.0 --         اگر کسی وجہ سے آپ کو روکنا پڑے اور قافلہ چلتا رھے تو فوج سے مدد حاصل کریں۔ 
      23.0       19.0 --         اگر ہم آپ کی سرجری نہ کرتے تو آپ مر سکتے تھے۔ 
      23.0       19.0 --         اگر ہم آپ کی سرجری نہ کریں گے تو ھو سکتا ھے ضاع ھوجائے۔ 
      16.0       22.0 --         اگرچہ 
      22.0       21.0 --         اگرچہ بہت سے گھروں میں ریڈیو ھے اور کچھ گھروں میں ٹی وی ھے۔ 
       3.0        4.0 --         اگست 
       2.0        3.0 --         اہرام 
      11.0       14.0 --         اہم جزو 
       2.0        3.0 --         ای میل 
      13.0       16.0 --         ایئر ہوسٹس 
       2.0        2.0 --         ایران 
       2.0        3.0 --         ایرانی 
       4.0        4.0 --         ایسا 
       2.0        3.0 --         ایسے 
       3.0        3.0 --         ایشیا 
      13.0       16.0 --         ایف آئی آر 
       5.0        8.0 --         ایمان , یقین 
       3.0        3.0 --         ایندھن 
      15.0       17.0 --         اینٹارکٹیکا 
       2.0        2.0 --         ایوا ن 
       4.0        5.0 --         ایوان با لا 
       4.0        6.0 --         ایٹمی 
       2.0        2.0 --         ایک 
      22.0       20.0 --         ایک انچارج تھا۔ 
      22.0       22.0 --         ایک بجلی کا پلانٹ دریا کے قریب ھے۔ 
      21.0       19.0 --         ایک بجہ ہے۔ 
      22.0       20.0 --         ایک دوسرے کو اشارہ مت کریں 
      22.0       21.0 --         ایک لاوڈسپیکر بازار میں ھے۔ 
      18.0       17.0 --         ایک منٹ 
      24.0       20.0 --         ایک مہینہ پہلے 
      20.0       16.0 --         ایک نشہ آور مادہ جو افیون کے ست سے حاصل کیا جاتا ہے 
      21.0       20.0 --         ایک وقت میں ایک 
      24.0       20.0 --         ایک ہفتہ پہلے 
      24.0       32.0 --         با اخلاق 
       8.0       10.0 --         با سٹھ 
       3.0        5.0 --         بائیس 
      15.0       17.0 --         بائیں بازو 
      21.0       15.0 --         بائیں۔ بائیں ہاتھ یا طرف۔ بایاں ہاتھ۔ الٹا ہاتھ 
      21.0       16.0 --         بائیں۔ بایاں۔ الٹا ہاتھ۔ الٹے ہاتھ 
       4.0        5.0 --         بات بننا 
      21.0       18.0 --         بات چیت کے پروگرام 
       3.0        3.0 --         باجرا 
       2.0        3.0 --         بارانی 
      12.0       11.0 --         بارش; برسات 
       3.0        3.0 --         بارودی 
      22.0       20.0 --         بارودی سرنگیں کہاں بنائی گیئں؟ 
       2.0        3.0 --         بارہ 
      13.0       17.0 --         باز گردانی 
       5.0        8.0 --         بازار 
       5.0        8.0 --         بازو 
      12.0       14.0 --         باسکِٹ بال 
       2.0        3.0 --         باسی 
      24.0       22.0 --         باشعور 
      12.0       14.0 --         باطل 
      30.0       34.0 --         باقاعدگی 
       3.0        5.0 --         باقی 
       4.0        6.0 --         باقیات 
       2.0        3.0 --         بال 
      18.0       18.0 --         بال بال بچ گیا 
      21.0       16.0 --         بالواسطہ یا بلاواسطہ 
       2.0        3.0 --         بالی 
      12.0       14.0 --         بامنافع 
       3.0        3.0 --         بانوے 
       4.0        5.0 --         بانی ہونا 
       3.0        3.0 --         باولا 
       4.0        6.0 --         باولا پن 
       2.0        3.0 --         باون 
       2.0        3.0 --         باپ 
       5.0        8.0 --         باکسنگ 
       4.0        6.0 --         باہر 
      22.0       16.0 --         باہر رھو۔ 
      19.0       18.0 --         باہیں ہوجاو 
       5.0        8.0 --         بتدریج 
       3.0        3.0 --         بتیس 
       3.0        4.0 --         بج کر 
      16.0       18.0 --         بجلی کا محکمہ 
      12.0       17.0 --         بجلی کی توانائی 
       8.0       10.0 --         بجلی کی کمی 
       8.0       11.0 --         بجنے میں 
       5.0        8.0 --         بجھانے 
       3.0        3.0 --         بجے 
      10.0       16.0 --         بحال 
       5.0        8.0 --         بحران 
       5.0        8.0 --         بحرہ 
      15.0       17.0 --         بحری فوج 
       7.0        8.0 --         بحریہ 
      15.0       17.0 --         بحیرہ عرب 
       8.0       12.0 --         بخار 
      12.0       11.0 --         بخار ہونا 
       8.0       10.0 --         بد عنوان 
       8.0       11.0 --         بد چلن 
       6.0        6.0 --         بدل 
       3.0        3.0 --         بدھ 
       4.0        5.0 --         بدھ مت 
      10.0       10.0 --         بذات خود 
       5.0        8.0 --         بر عکس 
       8.0       11.0 --         برآمد کرنا 
       8.0        9.0 --         برآمدات 
      16.0       18.0 --         برآمد۔ بر آمدات 
       4.0        5.0 --         برائے 
       4.0        6.0 --         براہ راست 
       3.0        3.0 --         براہوی 
       8.0        9.0 --         برتن دھونا 
       8.0       10.0 --         برف 
      12.0       16.0 --         برف زار 
      21.0       18.0 --         برفانی زخم 
      15.0       17.0 --         برفانی چیتے 
      32.0       36.0 --         برف۔برفباری 
       4.0        5.0 --         برقی 
