      male     female
       0.0        0.0 -- اونا مسلسل داشتن.‏
       0.0        0.0 -- اونا مسلمونای سنی هسن.‏
       0.0        0.0 -- اونا مسلمونای شیعه هسن.‏
       0.0        0.0 -- اونا کوله پشتی داشتن.‏
       0.0        0.0 -- اونجا وایسا.‏
       0.0        0.0 -- اونجا.‏
       0.0        0.0 -- اين مخزن اسمری است.‏
       0.0        0.0 -- اينجا اومدی تا يه جنايتی رو گزارش بدی؟
       0.0        0.0 -- اکتشاف; کشف
       0.0        0.0 -- اکران فیلم
       0.0        0.0 -- اکنون حالا، الان
       0.0        0.0 -- اگه جلوتر بيای، سربازا تو رو می کشن.‏
       0.0        0.0 -- اگه سربازا سلاحهای غیرمجاز تو خونه یا حیاط خونه کشف کنن صابخونه دستگیر میشه.‏
       0.0        0.0 -- اگه عمل نکنیم ممکنه اینو از دس بدی.‏
       0.0        0.0 -- اگه عمل نکنیم، ممکنه بمیری.‏
       0.0        0.0 -- اگه لازم بشه، افراد پست بازرسی مسیر ترافیکو تغییر میدن.‏
       0.0        0.0 -- ایرانیم.‏
       0.0        0.0 -- ایست و الا شلیک می کنم!‏
       0.0        0.0 -- ایست!‏
       0.0        0.0 -- ایستگاه
       0.0        0.0 -- این آب قابل خوردنه؟
       0.0        0.0 -- این اسناد مال کیه؟
       0.0        0.0 -- این افراد با شما رابطه ای دارن؟
       0.0        0.0 -- این باندو نگه دار و فشار بده.‏
       0.0        0.0 -- این برای شماس.‏
       0.0        0.0 -- این برچسب هویت زندانی شامل اطلاعات شناسائی شماس.‏
       0.0        0.0 -- این برچسب هویت زندانیس.‏
       0.0        0.0 -- این بهت کمک میکنه.‏
       0.0        0.0 -- این بچه ی شماس؟
       0.0        0.0 -- این تمام چیزایس که من دارم.‏
       0.0        0.0 -- این جاده آسفالته اس.‏
       0.0        0.0 -- این جاده امنه؟
       0.0        0.0 -- این جاده به کجا میره؟
       0.0        0.0 -- این جاده ناهمواره.‏
       0.0        0.0 -- این خانم کیه؟
       0.0        0.0 -- این خط مرز با عراق را نشان میدهد.‏
       0.0        0.0 -- این خط یه جاده اس.‏
       0.0        0.0 -- این خودرو نظامی بود یا اتوموبیل شخصی؟
       0.0        0.0 -- این خیابانه ولیعصره.‏
       0.0        0.0 -- این خیلی گرونه.‏
       0.0        0.0 -- این در خروج اضطراریه.‏
       0.0        0.0 -- این درحالی است که . . .
       0.0        0.0 -- این درسته؟
       0.0        0.0 -- این دریاچه ارومیه اس.‏
       0.0        0.0 -- این ده باغ کجه.‏
       0.0        0.0 -- این دوا برا درده.‏
       0.0        0.0 -- این راه غلطه.‏
       0.0        0.0 -- این زن حامله اس؟
       0.0        0.0 -- این سلاح رو سه پایه نصب میشه؟
       0.0        0.0 -- این شهر تهرانه.‏
       0.0        0.0 -- این غذا تازه اس؟
       0.0        0.0 -- این غذا فاسد شده.‏
       0.0        0.0 -- این فرودگاه تهرانه.‏
       0.0        0.0 -- این قابل شما را نداره.‏
       0.0        0.0 -- این مرد کیه؟
       0.0        0.0 -- این معامله ی خوبیه.‏
       0.0        0.0 -- این مغازه معروفه.‏
       0.0        0.0 -- این مقدار درسته؟
       0.0        0.0 -- این منطقه قرنطینه اس.‏
       0.0        0.0 -- این يه منطقه ی ممنوعه اس.‏
       0.0        0.0 -- این پاکت برا استفراغه.‏
       0.0        0.0 -- این چه جور میوه ایس؟
       0.0        0.0 -- این چه جور پوشش سریه؟
       0.0        0.0 -- این چه خیابونیه؟
       0.0        0.0 -- این چه شهریه؟
       0.0        0.0 -- این چیه؟
       0.0        0.0 -- این کافی نیس.‏
       0.0        0.0 -- این کباب گوشت گاوه.‏
       0.0        0.0 -- این کدام فرودگاهه؟
       0.0        0.0 -- این کدوم مسجده؟
       0.0        0.0 -- این گوشت گوسفنده یا گوشت گاو؟
       0.0        0.0 -- این یه اردوگاه پناهنده هاس.‏
       0.0        0.0 -- این یه تاسیسات نظامیه.‏
       0.0        0.0 -- این یه علامت خیابونه.‏
       0.0        0.0 -- این یه فرودگاهه.‏
       0.0        0.0 -- این یه منطقه ممنوعه اس.‏
       0.0        0.0 -- این یه نارنجکه.‏
       0.0        0.0 -- این یه پایگاه نظامی آمریکاس.‏
       0.0        0.0 -- این یه پست بازرسیه.‏
       0.0        0.0 -- این یه کوره راهه کوهستانیه.‏
       0.0        0.0 -- اینا خونوادم هسن.‏
       0.0        0.0 -- اینا زرد آلو ان.‏
       0.0        0.0 -- اینجا مسئول کیه؟
       0.0        0.0 -- اینجا وایسا.‏
       0.0        0.0 -- اینجا کسی هس که انگلیسی حرف بزنه؟
       0.0        0.0 -- اینو حس میکنی؟
       0.0        0.0 -- با این منطقه آشنایی داری؟
       0.0        0.0 -- با خودت اسلحه حمل میکنی؟
       0.0        0.0 -- با من بیا.‏
       0.0        0.0 -- با هم یه چای بخوریم.‏
       0.0        0.0 -- با واحدت بمون.‏
       0.0        0.0 -- با کی وقت ملاقات دارین ؟
       0.0        0.0 -- با گاز مایع کار می کنه.‏
       0.0        0.0 -- بارنامه ات رو نشون بده.‏
       0.0        0.0 -- بازار تجریش‏
       0.0        0.0 -- بازاریابی
       0.0        0.0 -- بازجویی
       0.0        0.0 -- بازدید
       0.0        0.0 -- بازرسی تموم شد.‏
       0.0        0.0 -- بازرسی;بازرس
       0.0        0.0 -- بازوان
       0.0        0.0 -- بازگشت; بازگشت به مدرسه
       0.0        0.0 -- باسواد
       0.0        0.0 -- باطری تمام شده.‏
       0.0        0.0 -- بانک پهلوی ایستگاه اتوبوسه.‏
       0.0        0.0 -- بانک کجاس؟
       0.0        0.0 -- بايد شما رو پيش از ورود به ساختمون بازرسی کنم.‏
       0.0        0.0 -- باید ازت بپرسیم.‏
       0.0        0.0 -- باید بارتو بازرسی کنیم.‏
       0.0        0.0 -- باید تمام ماشينا رو از نظر ايمنی بازرسی کنیم.‏
       0.0        0.0 -- باید جابجات کنم.‏
       0.0        0.0 -- باید دور پاتو تخته شکسه بندی ببندم.‏
       0.0        0.0 -- باید زخماتو پاک کنم.‏
       0.0        0.0 -- باید سوخت گيری کنيم.‏
       0.0        0.0 -- باید شما رو بازرسی کنیم.‏
       0.0        0.0 -- باید شما رو دقیقآ معاینه کنیم.‏
       0.0        0.0 -- باید لباسهاتو در بیاریم.‏
       0.0        0.0 -- ببخشین.‏
       0.0        0.0 -- بحث کردن
       0.0        0.0 -- بخش
       0.0        0.0 -- بد جوری سوختی.‏
       0.0        0.0 -- بدنبال  در پی
       0.0        0.0 -- بذار کمکت کنیم.‏
       0.0        0.0 -- بر اساس
       0.0        0.0 -- بر مبنای بر اساس
       0.0        0.0 -- برا ایمنی خودت باید نگرت داریم.‏
       0.0        0.0 -- برا بله دسمو یه بار فشار بده و برا نه دسمو دو بار فشار بده.‏
       0.0        0.0 -- برا عمل رضایت می خواهیم.‏
       0.0        0.0 -- برا ما اطلاعاتی داری؟
       0.0        0.0 -- برا گزارش جنايات محلی لطفاً به کلانتری برو.‏
       0.0        0.0 -- برادرزاده; خواهرزاده
       0.0        0.0 -- برای حفاظتم یه تفنگ دارم.‏
       0.0        0.0 -- برتر; برترین
       0.0        0.0 -- برخوردار بودن
       0.0        0.0 -- برخی بعضی
       0.0        0.0 -- برش ندار.‏
       0.0        0.0 -- برعهده داشتن
       0.0        0.0 -- برغم ; علی رغم اينكه
       0.0        0.0 -- برقرار کردن; برقراری
       0.0        0.0 -- برنامه
       0.0        0.0 -- برو تو خونت.‏
       0.0        0.0 -- برو عقب!‏
       0.0        0.0 -- برو!‏
       0.0        0.0 -- برچسب هویت زندانیت کجاس؟
       0.0        0.0 -- برکت
       0.0        0.0 -- بزحمت نفس میکشی؟
       0.0        0.0 -- بزرگسال ان
       0.0        0.0 -- بزرگی واحد چقدر بود؟
       0.0        0.0 -- بزن کنار.‏
       0.0        0.0 -- بزودي به زمين مي شینیم؟
       0.0        0.0 -- بزودی کسی اینجا میاید که ازت تحقیقات کنه.‏
       0.0        0.0 -- بستری شدن
       0.0        0.0 -- بشقاب
       0.0        0.0 -- بشین و اسلحه تو خالی کن.‏
       0.0        0.0 -- بشین.‏
       0.0        0.0 -- بطور به طور
       0.0        0.0 -- بعد از عبور خودروهای نظامی حرکت کنین.‏
       0.0        0.0 -- بعداً می بینمتون.‏
       0.0        0.0 -- بفرمائید تو.‏
       0.0        0.0 -- بلن شو.‏
       0.0        0.0 -- بله.‏
       0.0        0.0 -- بله، احساس می کنم سرگیجه دارم.‏
       0.0        0.0 -- بله، اینجا راه دیگه ایی هم هس.‏
       0.0        0.0 -- بله، دارم.‏
       0.0        0.0 -- بله، سرم درد میکنه.‏
       0.0        0.0 -- بله، شما میتونین بیاین تو.‏
       0.0        0.0 -- بله، پام درد میکنه.‏
       0.0        0.0 -- بله، پناهنده ام.‏
       0.0        0.0 -- بم دستی در کجا ساخته شده بود؟
       0.0        0.0 -- بمهای کنار جاده کار می ذاشتن.‏
       0.0        0.0 -- بنا کردن ساختن
       0.0        0.0 -- بنزین موجوده؟
       0.0        0.0 -- به تازگی
       0.0        0.0 -- به دست آوردن; به دست آمدن
       0.0        0.0 -- به رغم
       0.0        0.0 -- به زودی می بینم تون.‏
       0.0        0.0 -- به ستوه آمدن
       0.0        0.0 -- به سوال ها جواب بده.‏
       0.0        0.0 -- به شمار رفتن
       0.0        0.0 -- به صحنه بازگشتن
       0.0        0.0 -- به طرف راس حرکت کن!‏
       0.0        0.0 -- به طرف مسجد.‏
       0.0        0.0 -- به طرف چپ حرکت کن!‏
       0.0        0.0 -- به طول انجامیدن
       0.0        0.0 -- به عهده گرفتن; به عهده داشتن
       0.0        0.0 -- به محض اینکه برا بلند شدن راه بازه.‏
       0.0        0.0 -- به مراتب
       0.0        0.0 -- به نقل از
       0.0        0.0 -- به همدیگه علامت ندین.‏
       0.0        0.0 -- به همراه; به همراه داشتن
       0.0        0.0 -- به هیچ دارویی حساسیت داری؟
       0.0        0.0 -- به هیچی حساسیت ندارم.‏
       0.0        0.0 -- به پنسیلین حساسیت دارم.‏
       0.0        0.0 -- به کدام دوا حساسیت داری؟
       0.0        0.0 -- به کدام طرف برم؟
       0.0        0.0 -- به کدوم سازمان تعلق دارن؟
       0.0        0.0 -- بهبود; بهبود بخشیدن; بهبودی
       0.0        0.0 -- بهبودی
       0.0        0.0 -- بهداشت; لوازم بهداشتی و آرايشی
       0.0        0.0 -- بهش اشاره کن.‏
       0.0        0.0 -- بهم بگو.‏
       0.0        0.0 -- بوجود آمدن
       0.0        0.0 -- بيابان
       0.0        0.0 -- بچه داری؟
       0.0        0.0 -- بچه ندارم.‏
       0.0        0.0 -- بی رحمانه
       0.0        0.0 -- بی سابقه
       0.0        0.0 -- بیا اینجا!‏
       0.0        0.0 -- بیا تو.‏
       0.0        0.0 -- بیاین بعداً ملاقات کنیم.‏
       0.0        0.0 -- بیرون وایسا!‏
       0.0        0.0 -- بیمارستان در طرف چپه.‏
       0.0        0.0 -- بی‌توجهی
       0.0        0.0 -- تا این شهر چند کیلومتره؟
       0.0        0.0 -- تا تهران تقريباً ٥٠ کيلومتره.‏
       0.0        0.0 -- تا تهران چند کیلومتره؟
       0.0        0.0 -- تا ١٠ دقيقه دیگه شروع به پائین آمدن میکنیم.‏
       0.0        0.0 -- تاریخ تولدت چیه؟
       0.0        0.0 -- تازه; به تازگی
       0.0        0.0 -- تامین کردن; تامین کننده
       0.0        0.0 -- تبادل; تبادل نظر
       0.0        0.0 -- تبلیغ علیه نظام
       0.0        0.0 -- تبیین
       0.0        0.0 -- تجاوز; تجاوزجنسی
       0.0        0.0 -- تحت فشار قرار دادن; تحت فشار قرار گرفتن
       0.0        0.0 -- تحصیل; تحصیل کردن
       0.0        0.0 -- تحقیقاتی
       0.0        0.0 -- تحولات
       0.0        0.0 -- تحویل دادن; تحویل شدن
       0.0        0.0 -- تدابير; تدبير
       0.0        0.0 -- تدریجی; به طور تدریجی
       0.0        0.0 -- تدفین;دفن کردن
       0.0        0.0 -- تراموا
       0.0        0.0 -- ترتیب; به ترتیب; به این ترتیب
       0.0        0.0 -- ترک کردن
       0.0        0.0 -- تسلیم شو!‏
       0.0        0.0 -- تشنج
       0.0        0.0 -- تشنه هسم.‏
       0.0        0.0 -- تشویش
       0.0        0.0 -- تصریح کردن
       0.0        0.0 -- تصمیم گرفتن; تصمیم‌گیران
       0.0        0.0 -- تصور; تصورکردن
       0.0        0.0 -- تطبیق دادن طبق
       0.0        0.0 -- تعهدات
       0.0        0.0 -- تعیین شدن
       0.0        0.0 -- تغذیه
       0.0        0.0 -- تفنگ تو پر کن.‏
       0.0        0.0 -- تفنگت را بردار.‏
       0.0        0.0 -- تقدیر  قدردانی
       0.0        0.0 -- تقريبآ رسيديم.‏
       0.0        0.0 -- تقريبی; تقریبا
       0.0        0.0 -- تقریبآ ٢٠ مرد مسلح در اونجا بودن.‏
       0.0        0.0 -- تقلیل دادن
       0.0        0.0 -- تقویت شدن
       0.0        0.0 -- تلاش
       0.0        0.0 -- تماشاگران
       0.0        0.0 -- تمام; تمامی
       0.0        0.0 -- تملک; ملک
       0.0        0.0 -- تند برو.‏
       0.0        0.0 -- تنها با هلی کوپتر قابل دسترسیه.‏
       0.0        0.0 -- تنها ديزل.‏
       0.0        0.0 -- تهدید; تهدید کردن
       0.0        0.0 -- تهران.‏
       0.0        0.0 -- تهنیت
       0.0        0.0 -- تهیه کردن
       0.0        0.0 -- تو بازداشتی.‏
       0.0        0.0 -- تو زخمی شدی.‏
       0.0        0.0 -- تو سربازی؟
       0.0        0.0 -- تو شخصاً کی یو میشناسی که فعالانه مخالف آمریکا باشه؟
       0.0        0.0 -- تو مهمات منفجر نشده رو در کجا دیدی؟
       0.0        0.0 -- تو کجا میرفتی؟
       0.0        0.0 -- تو یه زندانی هستی.‏
       0.0        0.0 -- توالت کجاس؟
       0.0        0.0 -- توتون
       0.0        0.0 -- توجه کن!‏
       0.0        0.0 -- توسعه دادن; توسعه یافتن
       0.0        0.0 -- توقیف کردن
       0.0        0.0 -- تولدت کی هس؟
       0.0        0.0 -- تکان نخور.‏
       0.0        0.0 -- تکمیل کامل
       0.0        0.0 -- تکون نخور!‏
       0.0        0.0 -- جاده
       0.0        0.0 -- جاده بسه اس.‏
       0.0        0.0 -- جاده فرعی کجاس؟
       0.0        0.0 -- جاسازی کردن
       0.0        0.0 -- جاسوسی
       0.0        0.0 -- جامعه; جامعه اروپا
       0.0        0.0 -- جانشین
       0.0        0.0 -- جایزه
       0.0        0.0 -- جایگزین کردن شدن
       0.0        0.0 -- جبهه ملی‏
       0.0        0.0 -- جراحی داشتی؟
       0.0        0.0 -- جرم ; جرا یم; به جرم
       0.0        0.0 -- جزیره جزایر; مجموعه جزایر
       0.0        0.0 -- جزییات; جزء; بجز
       0.0        0.0 -- جلب کردن; حکم جلب
       0.0        0.0 -- جلسه چقدر طول کشید؟
       0.0        0.0 -- جمعیت اسلامی‏
       0.0        0.0 -- جمله; از جمله
       0.0        0.0 -- جنایت
       0.0        0.0 -- جنوب
       0.0        0.0 -- جنگجوا کجا رفتن؟
       0.0        0.0 -- جهان بینی
       0.0        0.0 -- جهت، در جهت
       0.0        0.0 -- جهنم
       0.0        0.0 -- جوانان
       0.0        0.0 -- حال; اين در حالى است كه . . .
       0.0        0.0 -- حالا میتونی سوار شی.‏
       0.0        0.0 -- حامل
       0.0        0.0 -- حاکی بودن
       0.0        0.0 -- حجاب  پوشش
       0.0        0.0 -- حد; تا حدی
       0.0        0.0 -- حداکثر سرعت چقدره؟
       0.0        0.0 -- حداکثر وزنی که این جاده میتونه تحمل کنه چقدره؟
       0.0        0.0 -- حدود بیست دقیقه.‏
       0.0        0.0 -- حدوداً یه واحد پنجاه نفره بود.‏
       0.0        0.0 -- حرفه ای
       0.0        0.0 -- حزب;احزاب; حزب ﷲ
       0.0        0.0 -- حساب; به حساب آمدن
       0.0        0.0 -- حق تقدم با وسایل نقلیه ایس که از روبرو میان.‏
       0.0        0.0 -- حلق آویز کردن
       0.0        0.0 -- حمل و نقل; شرکت حمل و نقل
       0.0        0.0 -- حمله
       0.0        0.0 -- خاطره; خاطرات
       0.0        0.0 -- خانم ها و بچه ها تو این اطاق.‏
       0.0        0.0 -- خانواده ام اینجا نیسن.‏
       0.0        0.0 -- خانوار; خانه دار
       0.0        0.0 -- خاکستری و سبز.‏
       0.0        0.0 -- خجسته
       0.0        0.0 -- خدا حافظ.‏
       0.0        0.0 -- خدا; خداوند
       0.0        0.0 -- خردسال
       0.0        0.0 -- خرید
       0.0        0.0 -- خشابم خالیه.‏
       0.0        0.0 -- خشابو بزن تو ام ۱۶ ات.‏
       0.0        0.0 -- خط های افقی عرض جغرافیایی رو نشون میدن.‏
       0.0        0.0 -- خط های عمودی طول جغرافيايی رو نشان میدن.‏
       0.0        0.0 -- خطر!‏
       0.0        0.0 -- خطوط شاخص ارتفاع بلندی را نشون میده.‏
       0.0        0.0 -- خندق
       0.0        0.0 -- خوابگاهها کجان؟
       0.0        0.0 -- خواهر و برادر داری؟
       0.0        0.0 -- خواهش می کنم.‏
       0.0        0.0 -- خوب.‏
       0.0        0.0 -- خوبم، مرسی شما چطورین؟
       0.0        0.0 -- خوبی؟
       0.0        0.0 -- خودمختار
       0.0        0.0 -- خودکار
       0.0        0.0 -- خودکامه
       0.0        0.0 -- خوش آمدین.‏
       0.0        0.0 -- خونوادت کجان؟
       0.0        0.0 -- خیابونه دانشگاه‏
       0.0        0.0 -- خیلی تند.‏
       0.0        0.0 -- خیلی دور نيس.‏
       0.0        0.0 -- خیلی ممنون.‏
       0.0        0.0 -- خیلی مواد منفجره داشتن.‏
       0.0        0.0 -- داخل نشین!‏
       0.0        0.0 -- دادستان
       0.0        0.0 -- دارم باند می بندم تا جلو خونریزی رو بگیره.‏
       0.0        0.0 -- دارم میرم تهران.‏
       0.0        0.0 -- داشپورتتو باز کن.‏
       0.0        0.0 -- دامنه
       0.0        0.0 -- داوری; داور
       0.0        0.0 -- دایر بودن
       0.0        0.0 -- دخانیات
       0.0        0.0 -- در اختیار قرار داشتن
       0.0        0.0 -- در اختیار گرفتن
       0.0        0.0 -- در اون ساک چیه؟
       0.0        0.0 -- در این جاده پست بازرسی هس؟
       0.0        0.0 -- در این محل میتونین از رودخونه عبور کنین؟
       0.0        0.0 -- در این مسیر بزرگراهای اصلی هس؟
       0.0        0.0 -- در این منطقه چیز مشکوکی دیدی؟
       0.0        0.0 -- در این نزدیکی مردهای مسلح بودن؟
       0.0        0.0 -- در این نزدیکی میدان مین شناخته شده ایی نیس.‏
       0.0        0.0 -- در این هواپیما جای سیگار کشیدن نیس.‏
       0.0        0.0 -- در برداشتن; در برگرفتن
       0.0        0.0 -- در جهت
       0.0        0.0 -- در خونه ات اسلحه داری؟
       0.0        0.0 -- در راس
       0.0        0.0 -- در قبال
       0.0        0.0 -- در ماشین اسلحه ای داری؟
       0.0        0.0 -- در همین حوالی باش!‏
       0.0        0.0 -- در پرتو
       0.0        0.0 -- در پناه گاهای زیرزمینی پنهان شدن.‏
       0.0        0.0 -- در چمدونتون مواد منفجره هس؟
       0.0        0.0 -- در کجا بود؟
       0.0        0.0 -- در کجا زندگی میکنی؟
       0.0        0.0 -- درآمد
       0.0        0.0 -- دراز بکش و جم نخور.‏
       0.0        0.0 -- دراز بکش!‏
       0.0        0.0 -- دراین منطقه مواد منفجره اس؟
       0.0        0.0 -- درجه ات چیه؟
       0.0        0.0 -- درخواست
       0.0        0.0 -- درد داری؟
       0.0        0.0 -- درد میگیره؟
       0.0        0.0 -- درمان
       0.0        0.0 -- درو وا کن!‏
       0.0        0.0 -- درگاه
       0.0        0.0 -- درگیری; درگیر شدن
       0.0        0.0 -- دسا بالا!‏
       0.0        0.0 -- دساتو بالا ببر.‏
       0.0        0.0 -- دساتو بزار پشتت.‏
       0.0        0.0 -- دست نخورده
       0.0        0.0 -- دست نزن.‏
       0.0        0.0 -- دستاورد
       0.0        0.0 -- دستورامونو اجرا کن!‏
       0.0        0.0 -- دستگاه های اجرایی
       0.0        0.0 -- دفاع
       0.0        0.0 -- دقت; با دقت
       0.0        0.0 -- دقیقآ چه وقت تو جنگجوا رو دیدی؟
       0.0        0.0 -- دقیقه;دقایق
       0.0        0.0 -- دلار امریکایی قبول میکنی؟
       0.0        0.0 -- دلاور
       0.0        0.0 -- دلیل;دلایل
       0.0        0.0 -- دنبال اتومبیلی که جلوته برو.‏
       0.0        0.0 -- دنبال رفتن; دنبال گشتن; دنبال کردن; به دنبال
       0.0        0.0 -- دنبال کارمی گردم.‏
       0.0        0.0 -- دنبالم بیا.‏
